date,T2M,T2M_MAX,T2M_MIN,RH2M,ALLSKY_SFC_SW_DWN
20260501,31.59,35.44,28.76,61.65,6.4243
20260502,32.98,37.94,29.03,61.23,6.5599
20260503,31.63,34.64,29.37,61.06,6.2657
20260504,30.77,34.21,28.09,70.52,5.3726
20260505,29.77,32.94,27.63,72.3,5.6438
20260506,30.17,34.7,26.73,69.63,5.9186
20260507,30.4,34.66,27.28,69.78,6.4649
20260508,29.25,31.49,27.54,77.95,3.0998
20260509,28.79,31.18,26.89,79.33,3.7092
20260510,29.07,33.03,26.43,74.92,6.42
20260511,30.09,34.65,27.01,71.65,6.4891
20260512,30.03,34.58,26.76,72.7,6.389
20260513,30.65,35.87,26.58,69.28,6.2976
20260514,30.45,35.68,27.23,71.68,5.4643
20260515,29.64,33.2,26.67,75.9,4.7222
20260516,30.03,34.25,26.9,74.61,6.1613
20260517,30.73,34.38,27.66,72.19,6.2172
20260518,30.83,34.15,28.25,73.12,6.2777
20260519,31.52,35.5,27.75,69.48,6.4001
20260520,31.94,36.27,27.95,66.3,-999.0
20260521,33.15,39.5,28.45,58.14,6.4985
20260522,32.13,37.86,28.34,63.56,5.9933
20260523,31.31,35.4,27.84,61.67,2.2817
20260524,32.59,38.69,26.7,56.54,6.2695
20260525,33.26,39.93,28.52,58.16,6.4075
20260526,32.41,37.54,28.67,65.04,6.4087
20260527,31.22,34.95,27.92,69.4,6.0895
20260528,31.25,35.75,27.78,71.16,6.3948
20260529,31.75,36.73,28.24,66.68,6.3634
20260530,30.99,35.17,28.21,70.95,3.2198
20260531,30.9,35.21,27.32,68.18,6.3449
